"","longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","median_house_value","ocean_proximity","income_cat"
"4",-122.25,37.85,52,1274,235,558,219,5.6431,341300,"NEAR BAY",4
"7",-122.25,37.84,52,2535,489,1094,514,3.6591,299200,"NEAR BAY",3
"11",-122.26,37.85,52,2202,434,910,402,3.2031,281500,"NEAR BAY",3
"14",-122.26,37.84,52,696,191,345,174,2.6736,191300,"NEAR BAY",2
"21",-122.27,37.85,40,751,184,409,166,1.3578,147500,"NEAR BAY",1
"23",-122.27,37.84,52,2436,541,1015,478,1.725,113900,"NEAR BAY",2
"27",-122.28,37.85,49,1130,244,607,239,2.4597,93800,"NEAR BAY",2
"28",-122.28,37.85,52,1898,421,1102,397,1.808,105500,"NEAR BAY",2
"29",-122.28,37.84,50,2082,492,1131,473,1.6424,108900,"NEAR BAY",2
"38",-122.28,37.83,52,1511,390,901,403,1.4103,103900,"NEAR BAY",1
"39",-122.26,37.83,52,1470,330,689,309,3.48,191400,"NEAR BAY",3
"42",-122.26,37.83,51,936,311,517,249,1.2852,150000,"NEAR BAY",1
"52",-122.27,37.82,43,1868,456,1061,407,1.5045,93800,"NEAR BAY",2
"58",-122.28,37.82,52,1489,335,728,244,0.8172,85300,"NEAR BAY",1
"72",-122.29,37.81,46,935,297,582,277,0.7286,95200,"NEAR BAY",1
"73",-122.29,37.81,49,844,204,560,152,1.75,75000,"NEAR BAY",2
"80",-122.28,37.8,38,684,176,344,155,2.0114,131300,"NEAR BAY",2
"88",-122.27,37.81,10,875,348,546,330,0.76,162500,"NEAR BAY",1
"92",-122.28,37.8,52,215,87,904,88,0.8668,137500,"NEAR BAY",1
"95",-122.27,37.8,39,1715,623,1327,467,1.8477,179200,"NEAR BAY",2
"96",-122.26,37.8,36,5329,2477,3469,2323,2.0096,130000,"NEAR BAY",2
"101",-122.25,37.81,29,4656,1414,2304,1250,2.4912,257800,"NEAR BAY",2
"103",-122.25,37.81,39,854,242,389,228,3.125,237500,"NEAR BAY",3
"106",-122.24,37.82,52,1509,225,674,244,4.9306,313400,"NEAR BAY",4
"112",-122.25,37.82,32,3809,1098,1806,1022,2.6429,218500,"NEAR BAY",2
"113",-122.25,37.82,26,3959,1196,1749,1217,3.0233,255000,"NEAR BAY",3
"119",-122.23,37.84,50,2515,399,970,373,5.8596,327600,"NEAR BAY",4
"121",-122.24,37.83,41,2576,406,794,376,5.956,366100,"NEAR BAY",4
"122",-122.24,37.85,37,334,54,98,47,4.9643,335000,"NEAR BAY",4
"126",-122.22,37.85,28,5287,1048,2031,956,5.457,337300,"NEAR BAY",4
"128",-122.21,37.84,44,3424,597,1358,597,6.0194,292300,"NEAR BAY",5
"138",-122.19,37.82,32,1835,264,635,263,8.317,365900,"NEAR BAY",5
"142",-122.21,37.82,52,2375,333,813,350,7.0549,331400,"NEAR BAY",5
"144",-122.21,37.8,50,2833,605,1260,552,2.8929,216700,"NEAR BAY",2
"145",-122.21,37.8,38,2254,535,951,487,3.0812,233100,"NEAR BAY",3
"155",-122.22,37.81,52,2927,402,1021,380,8.1564,390100,"NEAR BAY",5
"163",-122.24,37.81,52,2513,502,1048,518,3.675,269900,"NEAR BAY",3
"172",-122.25,37.79,52,1339,391,1086,363,2.181,138800,"NEAR BAY",2
"177",-122.24,37.8,52,1586,398,1006,335,2.1348,140600,"NEAR BAY",2
"180",-122.24,37.8,52,1803,420,1321,401,2.957,122800,"NEAR BAY",2
"188",-122.23,37.79,30,999,264,1011,263,1.8854,137500,"NEAR BAY",2
"195",-122.25,37.79,52,902,237,846,227,3.625,125000,"NEAR BAY",3
"201",-122.23,37.78,52,862,215,994,213,3.0257,80800,"NEAR BAY",3
"207",-122.23,37.79,49,1175,217,859,219,2.293,106300,"NEAR BAY",2
"211",-122.22,37.79,44,1487,314,961,272,3.5156,109500,"NEAR BAY",3
"215",-122.22,37.79,49,1826,450,1201,424,2.5,136700,"NEAR BAY",2
"217",-122.2,37.79,29,1640,376,939,340,2.8321,150000,"NEAR BAY",2
"219",-122.21,37.79,34,2364,557,1517,516,2.8365,139200,"NEAR BAY",2
"228",-122.19,37.8,48,1694,259,610,238,4.744,257300,"NEAR BAY",4
"233",-122.19,37.8,52,1813,271,637,277,4.0114,263400,"NEAR BAY",3
"234",-122.19,37.79,45,2718,451,1106,454,4.6563,231800,"NEAR BAY",4
"236",-122.2,37.79,35,1802,459,1009,390,2.3036,126000,"NEAR BAY",2
"238",-122.2,37.79,44,1621,452,1354,491,2.619,134700,"NEAR BAY",2
"240",-122.2,37.79,45,2021,528,1410,480,2.7788,115400,"NEAR BAY",2
"243",-122.21,37.78,52,1056,224,792,245,2.6583,142600,"NEAR BAY",2
"252",-122.21,37.76,52,1420,314,1085,300,1.7546,80600,"NEAR BAY",2
"253",-122.21,37.77,52,591,173,353,137,4.0904,80600,"NEAR BAY",3
"278",-122.19,37.79,47,1229,243,582,256,2.9514,198100,"NEAR BAY",2
"289",-122.17,37.78,49,893,177,468,181,3.875,140600,"NEAR BAY",3
"294",-122.16,37.77,39,1583,349,857,316,3.0958,145800,"NEAR BAY",3
"295",-122.17,37.77,39,1612,342,912,322,3.3958,141900,"NEAR BAY",3
"299",-122.18,37.76,37,1575,358,933,320,2.2917,107000,"NEAR BAY",2
"312",-122.2,37.76,47,1116,259,826,279,1.75,85700,"NEAR BAY",2
"314",-122.19,37.77,45,1852,393,1132,349,2.7159,101400,"NEAR BAY",2
"316",-122.19,37.76,45,995,238,630,237,1.925,74100,"NEAR BAY",2
"321",-122.19,37.75,28,856,189,435,162,0.8012,81800,"NEAR BAY",1
"322",-122.19,37.76,26,1293,297,984,303,1.9479,85800,"NEAR BAY",2
"324",-122.18,37.74,42,541,154,380,123,2.3456,83500,"NEAR BAY",2
"325",-122.19,37.73,44,1066,253,825,244,2.1538,79700,"NEAR BAY",2
"331",-122.18,37.73,42,4074,874,2736,780,2.455,82400,"NEAR BAY",2
"346",-122.18,37.75,36,1047,214,651,166,1.712,82100,"NEAR BAY",2
"350",-122.17,37.75,44,1218,248,763,254,2.3281,88800,"NEAR BAY",2
"352",-122.16,37.76,45,2299,514,1437,484,2.5122,95500,"NEAR BAY",2
"362",-122.12,37.75,33,1809,261,808,219,6.86,250000,"NEAR BAY",5
"365",-122.14,37.75,33,1334,200,579,202,6.8323,255900,"NEAR BAY",5
"367",-122.13,37.75,36,768,93,229,93,5.3602,330000,"NEAR BAY",4
"368",-122.13,37.74,41,4400,666,1476,648,5,248900,"NEAR BAY",4
"372",-122.15,37.74,41,856,178,571,191,3.1458,130600,"NEAR BAY",3
"377",-122.16,37.75,40,1227,294,928,261,1.8235,95200,"NEAR BAY",2
"386",-122.29,37.9,49,1283,238,576,236,3.3333,276800,"NEAR BAY",3
"391",-122.3,37.89,46,1520,402,815,375,2.8036,211600,"NEAR BAY",2
"392",-122.3,37.9,15,5083,1212,2420,1146,4.5824,256100,"NEAR BAY",4
"409",-122.28,37.9,52,2318,328,779,312,7.1754,362900,"NEAR BAY",5
"412",-122.28,37.89,52,1225,169,412,168,5.7912,327100,"NEAR BAY",4
"431",-122.28,37.88,52,1172,215,489,218,3.9167,235600,"NEAR BAY",3
"440",-122.29,37.85,52,477,119,218,106,2.5682,120000,"NEAR BAY",2
"442",-122.3,37.87,52,3123,749,1695,684,2.2208,144800,"NEAR BAY",2
"445",-122.28,37.87,49,2026,548,963,521,1.9805,173700,"NEAR BAY",2
"450",-122.28,37.87,46,1777,446,805,431,2.8676,212000,"NEAR BAY",2
"456",-122.26,37.88,52,2604,837,1798,769,1.725,287500,"NEAR BAY",2
"460",-122.25,37.87,52,609,236,1349,250,1.1696,500001,"NEAR BAY",1
"473",-122.29,37.87,52,2225,460,1145,430,2.6165,150000,"NEAR BAY",2
"474",-122.29,37.86,50,2485,607,1354,563,1.9483,150500,"NEAR BAY",2
"475",-122.28,37.86,52,2031,450,958,445,1.9327,169900,"NEAR BAY",2
"486",-122.26,37.86,35,5161,1744,3276,1742,1.6307,253600,"NEAR BAY",2
"495",-122.24,37.85,52,3726,474,1366,496,9.3959,500001,"NEAR BAY",5
"499",-122.27,37.85,47,2077,400,719,326,2.2431,172700,"NEAR BAY",2
"502",-122.27,37.85,52,335,83,152,77,2.2841,106300,"NEAR BAY",2
"504",-122.28,37.85,52,610,145,281,132,2.9018,119400,"NEAR BAY",2
"512",-122.22,37.82,42,2991,335,1018,335,13.499,500001,"NEAR BAY",5
"522",-122.23,37.76,52,2269,323,805,321,4.7188,335300,"NEAR BAY",4
"524",-122.24,37.77,52,1153,235,481,223,2.6411,241000,"NEAR BAY",2
"525",-122.23,37.77,52,772,179,409,160,3.3214,189600,"NEAR BAY",3
"526",-122.24,37.77,52,1711,386,885,373,3.6417,206300,"NEAR BAY",3
"529",-122.25,37.77,52,1527,320,825,264,3.4531,208800,"NEAR BAY",3
"539",-122.28,37.78,29,5154,NA,3741,1273,2.5762,173400,"NEAR BAY",2
"548",-122.27,37.77,52,1710,481,849,457,2.7115,220800,"NEAR BAY",2
"556",-122.24,37.77,43,955,284,585,266,2.3882,162500,"NEAR BAY",2
"563",-122.23,37.75,50,1542,289,654,268,3.9632,240000,"NEAR BAY",3
"564",-122.24,37.75,45,891,NA,384,146,4.9489,247100,"NEAR BAY",4
